trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.2, 'e': 0.7109135380122773}",25,0,-149.67028887390646,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
80,False,"{'a': 0.2, 'e': 0.70384531565223607}",20,0,-88.36192343098666,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
81,False,"{'a': 0.2, 'e': 0.69670670934716539}",30,7,-70.10004692898362,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
82,False,"{'a': 0.2, 'e': 0.68949843295174695}",25,0,-64.10985303518011,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.68222120728761348}",25,0,-75.78886639623458,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.2, 'e': 0.67487576007126704}",20,8,-9.158531807145836,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.66746282584130812}",30,0,-57.0447561431484,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.2, 'e': 0.65998314588498219}",25,0,-98.78503779489367,"{0: 16, 1: 7, 2: 0, 3: 0, 4: 2}",0
87,False,"{'a': 0.2, 'e': 0.6524374681640519}",20,11,-4.973456384091993,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.64482654724000121}",20,1,-21.56665803261729,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.63715114419858021}",35,0,-78.50192984578615,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.2, 'e': 0.62941202657369688}",20,10,4.691584723529135,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.62160996827066439}",25,10,-17.19236826595309,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.61374574948881155}",25,2,-78.51654510982715,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.60582015664346278}",25,0,-49.19894432776099,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.2, 'e': 0.59783398228729823}",25,0,-59.71536629607905,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.58978802503109817}",30,0,-63.393467516695615,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
96,False,"{'a': 0.2, 'e': 0.58168308946388347}",20,3,-61.15843893598597,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.2, 'e': 0.57351998607245669}",20,0,-54.224804795907545,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
98,False,"{'a': 0.2, 'e': 0.56529953116035436}",20,7,-61.32231359493074,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
99,False,"{'a': 0.2, 'e': 0.55702254676621732}",20,0,-46.84162699544544,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.2, 'e': 0.54868986058158753}",25,0,-55.73022514492367,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.2, 'e': 0.54030230586813977}",20,15,8.185637818041196,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.53186072137435547}",20,6,3.403060850276473,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.52336595125164953}",20,0,-34.073626445915586,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.51481884496995534}",20,0,-18.01721689913484,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
